 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , 
 , , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , 
 , , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , 
 , , , ,█,█,█, , , , , , , , , , , , , , , , , , , , , , , , , , , ,█,█,█, , 
 , , , ,█,█,█, , , , , , , , , , , , , , , , , , , , , , , , , , , ,█,█,█, , 
 , , , ,█,█,█, , , , , , , , , , , , , , , , , , , , , , , , , , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , , , , , , , , , , , , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , , , , , , , , , , , , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , , , , , , , , , , , , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , , , , , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , , , , , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█, , , , , , , , , ,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , , , , , , , , , , , , , , , , , , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , , , , , , , , , , , , , , , , , , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█, , , , , , , , , , , , , , , , , , , , , ,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , 
 , , , ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , , ,█,█,█, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,█,█,█, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,█,█,█, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,█,█,█, , 
 ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , 
 ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , 
 ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
