█, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , 
█, ,█, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,█, , 
█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, , 
█, ,█, ,█, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,█, ,█, , 
█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, , 
█, ,█, ,█, ,█, , , , , , , , , , , , , , , , , , , , , , , , , ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, , , , , , , , , , , , , , , , , , , , , ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, , , , , , , , , , , , , , , , , ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, , , , , , , , , , , , , ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , , , , , , , , ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█,█,█,█,█,█,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , , , , ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█,█,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , , ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█,█,█,█,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , , , , , , ,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, ,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█, , , , , , , , , , , ,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█, , , , , , , , , , , , , , , ,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█, , , , , , , , , , , , , , , , , , , ,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█, , , , , , , , , , , , , , , , , , , , , , , ,█, ,█, ,█, ,█, , 
█, ,█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, ,█, , 
█, ,█, ,█, , , , , , , , , , , , , , , , , , , , , , , , , , , ,█, ,█, ,█, , 
█, ,█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, ,█, , 
█, ,█, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,█, ,█, , 
█, ,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, ,█, , 
█, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,█, , 
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
